iter	Logloss
0	0.6868234816
1	0.6813601595
2	0.6760379188
3	0.6700868747
4	0.6640664985
5	0.6608945534
6	0.6558865718
7	0.6503372059
8	0.6455611729
9	0.6394678222
10	0.6339479016
11	0.6287047423
12	0.6232906563
13	0.6191614176
14	0.6140995381
15	0.6099904644
16	0.6055984661
17	0.6015043691
18	0.5969165795
19	0.5946220887
20	0.5909653202
21	0.5873414491
22	0.58369293
23	0.5815912091
24	0.5780988783
25	0.574710085
26	0.5708255101
27	0.567357206
28	0.5636400031
29	0.5603448577
30	0.5568152886
31	0.555058419
32	0.5530964948
33	0.5494837301
34	0.5463690469
35	0.5432575673
36	0.5400322698
37	0.5370143201
38	0.5355099986
39	0.5335919074
40	0.5306249969
41	0.5284216488
42	0.5270413813
43	0.525034313
44	0.5221136037
45	0.5197098401
46	0.5172015037
47	0.5147761545
48	0.5135010442
49	0.5108907177
50	0.5088525051
51	0.5071002417
52	0.5044062751
53	0.5020961554
54	0.4994814675
55	0.497358194
56	0.4953472504
57	0.4931884965
58	0.4911098825
59	0.4893226433
60	0.4873979993
61	0.4855271179
62	0.4830940456
63	0.4817776543
64	0.4798984705
65	0.4783980479
66	0.4762348473
67	0.4743189301
68	0.4725968112
69	0.4707736948
70	0.4688017789
71	0.4674327671
72	0.4666086968
73	0.4648658376
74	0.4635771689
75	0.4617800265
76	0.460336038
77	0.4597038031
78	0.4582434317
79	0.4568923602
80	0.455416262
81	0.4547894741
82	0.4538224733
83	0.4522595374
84	0.450593093
85	0.4489754255
86	0.4475380238
87	0.4460585646
88	0.4445911256
89	0.4434191127
90	0.4425358741
91	0.4411832757
92	0.440062969
93	0.4390946207
94	0.4377256649
95	0.4364975086
96	0.4355492527
97	0.4345070005
98	0.4333007729
99	0.4326661503
100	0.4316895141
101	0.4313131509
102	0.4299524731
103	0.4295048124
104	0.4281959981
105	0.4278502541
106	0.4274419116
107	0.4265875834
108	0.4260664774
109	0.4254537637
110	0.4250885639
111	0.423900739
112	0.4230238648
113	0.4219290029
114	0.4211033644
115	0.4202691195
116	0.419088194
117	0.4181849192
118	0.4171169394
119	0.416602952
120	0.4160527531
121	0.4156285273
122	0.41490431
123	0.4141598435
124	0.4132457386
125	0.4128277066
126	0.4123461619
127	0.411686769
128	0.4113526775
129	0.410296491
130	0.410092484
131	0.4097422482
132	0.4088879389
133	0.408238612
134	0.4078372557
135	0.4071831864
136	0.4065223457
137	0.4061980497
138	0.4056712799
139	0.4048515158
140	0.4043384035
141	0.4037269676
142	0.4029736603
143	0.4022254642
144	0.4012859445
145	0.4008603802
146	0.400305118
147	0.399689589
148	0.3992143975
149	0.3988610815
150	0.3986616597
151	0.3981215713
152	0.3974469952
153	0.3969222131
154	0.396166334
155	0.3956924833
156	0.394719044
157	0.394112349
158	0.3937128077
159	0.3933076112
160	0.3925324955
161	0.3921956441
162	0.391669119
163	0.3911726375
164	0.3905486972
165	0.3898052514
166	0.3892259832
167	0.3887755262
