iter	Passed	Remaining
0	1	1224
1	2	1156
2	3	1139
3	4	1225
4	6	1266
5	7	1257
6	9	1415
7	11	1447
8	13	1498
9	14	1484
10	17	1539
11	19	1582
12	22	1726
13	24	1736
14	26	1740
15	28	1726
16	29	1717
17	31	1703
18	33	1740
19	34	1693
20	35	1675
21	38	1692
22	39	1679
23	40	1642
24	41	1622
25	42	1607
26	44	1596
27	46	1597
28	47	1593
29	53	1728
30	55	1721
31	55	1693
32	57	1676
33	59	1676
34	60	1670
35	62	1684
36	65	1711
37	67	1706
38	68	1686
39	69	1678
40	71	1681
41	73	1667
42	74	1652
43	75	1647
44	77	1643
45	78	1636
46	80	1630
47	81	1622
48	83	1615
49	84	1614
50	86	1603
51	87	1590
52	88	1586
53	90	1579
54	91	1578
55	94	1587
56	96	1588
57	97	1588
58	99	1582
59	100	1576
60	102	1572
61	104	1577
62	105	1576
63	107	1571
64	109	1572
65	110	1562
66	112	1565
67	115	1586
68	118	1594
69	119	1592
70	121	1587
71	122	1581
72	124	1576
73	125	1573
74	127	1569
75	129	1572
76	131	1573
77	132	1561
78	133	1556
79	135	1553
80	136	1551
81	137	1541
82	140	1555
83	143	1570
84	146	1573
85	148	1581
86	150	1583
87	152	1580
88	154	1582
89	157	1588
90	159	1589
91	161	1594
92	163	1598
93	165	1591
94	166	1588
95	168	1585
96	169	1581
97	171	1577
98	172	1573
99	174	1570
100	176	1574
101	177	1565
102	179	1562
103	180	1554
104	183	1561
105	184	1557
106	185	1549
107	187	1545
108	188	1539
109	189	1534
110	191	1532
111	192	1528
112	195	1534
113	197	1536
114	199	1538
115	201	1538
116	203	1535
117	204	1531
118	206	1527
119	207	1524
120	209	1520
121	210	1514
122	212	1515
123	214	1515
124	216	1517
125	218	1512
126	219	1506
127	220	1503
128	221	1497
129	223	1495
130	224	1488
131	225	1482
132	226	1479
133	228	1477
134	230	1479
135	232	1476
136	234	1474
137	235	1468
138	236	1465
139	238	1466
140	240	1465
141	242	1464
142	243	1461
143	245	1458
144	246	1455
145	248	1451
146	250	1451
147	252	1453
148	253	1449
149	255	1446
150	256	1440
151	257	1437
152	259	1434
153	260	1431
154	262	1429
155	264	1428
156	265	1426
157	267	1427
158	269	1426
159	271	1424
160	273	1425
161	275	1426
162	278	1430
163	280	1427
164	281	1424
165	283	1422
166	284	1419
167	286	1416
168	287	1414
169	289	1415
170	291	1414
171	293	1414
172	295	1411
173	297	1410
174	298	1408
175	299	1403
176	301	1400
177	302	1398
178	304	1396
179	306	1396
180	308	1394
181	310	1393
182	311	1390
183	312	1385
184	314	1383
185	315	1379
186	316	1375
187	317	1370
188	319	1369
189	320	1367
190	322	1367
191	323	1362
192	325	1360
193	326	1357
194	327	1353
