iter	Logloss
0	0.6643472901
1	0.6411023695
2	0.6202297664
3	0.6050456981
4	0.5878118491
5	0.5704737662
6	0.5572752813
7	0.5455434817
8	0.5333229247
9	0.5250734999
10	0.5153309591
11	0.5086234769
12	0.5029791069
13	0.4950962879
14	0.4898351351
15	0.4836284445
16	0.4781086362
17	0.4729281058
18	0.46842599
19	0.4643788788
20	0.4603065941
21	0.4564681295
22	0.4534925552
23	0.4502015024
24	0.4467639881
25	0.4452539907
26	0.4429476884
27	0.4400961866
28	0.4374020452
29	0.4354855732
30	0.4341563646
31	0.4331169629
32	0.4313619609
33	0.4290117326
34	0.4272406258
35	0.4252002019
36	0.4242284959
37	0.4228025722
38	0.421310286
39	0.419835619
40	0.4182110482
41	0.4169806623
42	0.4160230596
43	0.414578158
44	0.4135766072
45	0.4127444975
46	0.4114707094
47	0.4108218803
48	0.4100842755
49	0.4093962265
50	0.4083704579
51	0.407281444
52	0.40652898
53	0.4056861634
54	0.4055577364
55	0.4046329795
56	0.4037198678
57	0.4033103016
58	0.4025953446
59	0.40178221
60	0.4007996812
61	0.3998606632
62	0.3988646677
63	0.397943283
64	0.3974568663
65	0.3967875512
66	0.39571149
67	0.3954429851
68	0.3947135224
69	0.3938699098
70	0.3932874611
71	0.392440915
72	0.3920316975
73	0.3911947128
74	0.3903332277
75	0.3897365245
76	0.3885047935
77	0.3876571485
78	0.3871928683
79	0.3864997242
80	0.3859871381
81	0.3856100358
82	0.3855100554
83	0.3844820963
84	0.3837251254
85	0.3832878328
86	0.3830622316
87	0.3829681321
88	0.382314266
89	0.3819018459
