iter	Passed	Remaining
0	3	267
1	5	228
2	6	195
3	8	183
4	9	161
5	10	150
6	12	144
7	13	140
8	15	139
9	16	129
10	17	126
11	18	119
12	19	114
13	20	111
14	21	106
15	23	109
16	26	111
17	27	111
18	29	111
19	32	114
20	33	111
21	36	112
22	38	113
23	40	111
24	42	111
25	44	109
26	45	105
27	47	104
28	49	104
29	50	101
30	52	99
31	54	98
32	57	99
33	59	97
34	60	94
35	62	93
36	65	93
37	66	91
38	68	89
39	71	88
40	73	87
41	75	85
42	77	84
43	78	82
44	80	80
45	81	78
46	83	76
47	85	75
48	88	74
49	90	72
50	93	71
51	96	70
52	97	68
53	100	67
54	101	64
55	104	63
56	106	61
57	109	60
58	112	59
59	116	58
60	118	56
61	120	54
62	122	52
63	123	50
64	125	48
65	126	46
66	128	44
67	131	42
68	133	40
69	136	38
70	137	36
71	139	34
72	140	32
73	142	30
74	144	28
75	147	27
76	150	25
77	151	23
78	153	21
79	154	19
80	156	17
81	158	15
82	159	13
83	162	11
84	163	9
85	166	7
86	167	5
87	169	3
88	171	1
89	173	0
